Sample,Depth below surface (m).x,Water (%)#,Environmental dose rate (Gy/kyr),...5,...6,...7,De value (Gy)$,Number of grains*,OD (%)&,osl_age.x,other1,osl_error.x,other2,Depth below surface (m).y,Water (%),EDR_Beta,EDR_Gamma,EDR_Cosmic,EDR_total,De value (Gy),Number of grains,OD (%),Age (ka),Sample.y,upper,lower,Elevation,Easting,Northing,year,X,Y,Xnew,Ynew,Xnew_flipped,Description,type,square,spit,cnr,find,findn,depth_below_ground_surface,total_station_depth_below_surf,osl_age.y,osl_error.y,osl_age,osl_error
NA,NA,NA,Beta,Gamma,Cosmic,Total,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW9B,2.1,<1,0.25 ± 0.02,0.35 ± 0.02,7.4999999999999997E-2,0.71 ± 0.03,40.0 ± 0.7,182/500 (151),29 ± 1,56.7,±,3.0,(2.3),-2.10,<1,0.25 ± 0.02,0.35 ± 0.02,0.075,0.71 ± 0.03,40.0 ± 0.7,182/500 (151),29 ± 1,56.7 ± 3.0,NA,NA,NA,98.592755,4997.504586,5011.967225,2015,-1.6842169393657969,-0.4372096591132504,-0.8554530857066291,-1.5152356262389104,0.8554530857066291,OSL_NW_9B,OSL,NW,9B,NA,,,2.1004580000000033,-2.100458,56.7,3,56.7,3
NW15,2.07,<1,0.31 ± 0.03,0.35 ± 0.02,7.0999999999999994E-2,0.76 ± 0.03,36.8 ± 0.6,213/500 (175),20 ± 1,48.4,±,2.5,(1.9),-2.07,<1,0.31 ± 0.03,0.32 ± 0.01,0.071,0.73 ± 0.03,36.8 ± 0.6,213/500 (175),20 ± 1,50.3 ± 2.6,NA,NA,NA,98.626363,4998.974963,5012.687379,2012,-0.21383993936615298,0.2829443408863881,-0.35207882949930824,0.04272607548265567,0.35207882949930824,OSL_NW15,OSL,NW15,NA,NA,,,2.0668500000000023,-2.06685,50.3,2.6,48.4,2.5
SW9A,2.03,<1,0.30 ± 0.02,0.33 ± 0.01,6.6000000000000003E-2,0.73 ± 0.03,37.9 ± 0.7,195/500 (164),21 ± 1,51.9,±,2.6,(2.0),-2.03,<1,0.30 ± 0.02,0.33 ± 0.01,0.066,0.73 ± 0.03,37.9 ± 0.7,195/500 (164),21 ± 1,51.9 ± 2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.03,51.9,2.6,51.9,2.6
NE1B,2.02,1.1000000000000001,0.26 ± 0.02,0.36 ± 0.02,8.5000000000000006E-2,0.73 ± 0.03,38.7 ± 0.8,206/500 (176),24 ± 2,53.0,±,2.6,(1.9),-2.02,1.1,0.26 ± 0.02,0.36 ± 0.02,0.085,0.73 ± 0.03,38.7 ± 0.8,206/500 (176),24 ± 2,53.0 ± 2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.02,53,2.6,53,2.6
NW10,1.95,<1,0.30 ± 0.02,0.36 ± 0.02,7.3999999999999996E-2,0.77 ± 0.03,33.5 ± 0.5,227/500 (196),21 ± 1,43.8,±,2.1,(1.6),-1.95,<1,0.30 ± 0.02,0.32 ± 0.01,0.074,0.72 ± 0.03,33.5 ± 0.5,227/500 (196),21 ± 1,46.4 ± 2.3,NA,NA,NA,98.739669,4998.993218,5012.737814,2012,-0.19558493936619925,0.3333793408864949,-0.3756777437767681,0.09089271845197819,0.3756777437767681,OSL_NW10,OSL,NW10,NA,NA,,,1.9535439999999937,-1.95354399999999,46.4,2.3,43.8,2.1
NW8B,1.94,<1,0.29 ± 0.02,0.34 ± 0.01,7.5999999999999998E-2,0.74 ± 0.03,34.3 ± 0.6,226/500 (194),22 ± 1,46.3,±,2.3,(1.8),-1.94,<1,0.29 ± 0.02,0.34 ± 0.02,0.076,0.74 ± 0.03,34.3 ± 0.6,226/500 (194),22 ± 1,46.3 ± 2.3,NA,NA,NA,98.750619,4997.514181,5011.97652,2015,-1.6746219393662614,-0.4279146591134122,-0.8554741020864292,-1.5018767113016913,0.8554741020864292,OSL_NW_8B,OSL,NW,8B,NA,,,1.9425939999999997,-1.942594,46.3,2.3,46.3,2.3
SW8A,1.81,<1,0.28 ± 0.02,0.33 ± 0.01,6.7000000000000004E-2,0.71 ± 0.03,30.4 ± 0.6,194/500 (166),23 ± 1,42.8,±,2.1,(1.6),-1.81,<1,0.28 ± 0.02,0.37 ± 0.01,0.067,0.75 ± 0.03,30.4 ± 0.6,194/500 (166),23 ± 1,40.8 ± 2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.81,40.8,2,42.8,2.1
NW9,1.75,<1,0.29 ± 0.02,0.36 ± 0.02,7.5999999999999998E-2,0.76 ± 0.03,27.7 ± 0.5,263/500 (214),24 ± 1,36.5,±,1.8,(1.3),-1.75,<1,0.29 ± 0.02,0.30 ± 0.01,0.076,0.70 ± 0.03,27.7 ± 0.5,263/500 (214),24 ± 1,39.4 ± 2.0,NA,NA,NA,98.945075,4999.005123,5012.770598,2012,-0.1836799393659021,0.3661633408864873,-0.3909906718905442,0.12223013879234604,0.3909906718905442,OSL_NW9,OSL,NW9,NA,NA,,,1.7481379999999973,-1.748138,39.4,2,36.5,1.8
SW7B,1.69,<1,0.24 ± 0.02,0.34 ± 0.01,7.9000000000000001E-2,0.70 ± 0.03,27.4 ± 0.5,252/500 (208),26 ± 1,39.3,±,2.1,(1.6),-1.69,<1,0.24 ± 0.02,0.34 ± 0.02,0.079,0.70 ± 0.03,27.4 ± 0.5,252/500 (208),26 ± 1,39.3 ± 2.1,NA,NA,NA,99.006843,4997.316948,5012.289003,2015,-1.8718549393661306,-0.11543165911371034,-1.217265115296086,-1.4266853265658586,1.217265115296086,OSL_SW_7B,OSL,SW,7B,NA,,,1.6863699999999966,-1.68637,39.3,2.1,39.3,2.1
SW7A,1.61,<1,0.32 ± 0.02,0.33 ± 0.02,6.9000000000000006E-2,0.75 ± 0.03,25.1 ± 0.5,196/400 (165),26 ± 1,33.5,±,1.6,(1.2),-1.61,<1,0.32 ± 0.02,0.33 ± 0.01,0.069,0.75 ± 0.03,25.1 ± 0.5,196/400 (165),26 ± 1,33.5 ± 1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.61,33.5,1.6,33.5,1.6
